"DEPARTURE_COUNTRY","ARRIVAL_COUNTRY","TRANSFER_COUNT","TOTAL_QTY","TOTAL_AMOUNT_EUR"
"CZ","DE","5","6","23.80"
"CZ","IT","3","16","48.00"
"CZ","PL","3","3","12.50"
"DE","CZ","41","96","323.93"
"DE","ES","1","1","3.00"
"DE","FR","3","3","24.33"
"DE","IT","1","2","6.00"
"FR","CZ","1","1","14.50"
"FR","DE","84","453","3058.52"
"FR","ES","14","14","107.94"
"FR","IT","38","633","4165.15"
"FR","PL","8","8","47.63"
"IT","DE","1","1","6.50"
"IT","FR","1","1","5.30"
"PL","DE","3","3","13.70"
"PL","FR","1","1","3.00"
"SK","CZ","1","1","6.50"
"SK","DE","2","2","11.03"
"SK","PL","4","4","23.20"
"TOTAL","","215","1249","7904.53"
